"JobTitle","skill","required"
"Data Engineer","sparkyn",1
"Data Engineer","nosqlyn",1
"Data Engineer","awsyn",1
"Data Engineer","hiveyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","javayn",1
"Data Scientist","tableauyn",1
"Data Scientist","tensorflowyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","matlabyn",1
"Data Scientist","sasyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","tableauyn",1
"Data Analyst","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","gityn",1
"Data Scientist","excelyn",1
"Data Scientist","hiveyn",1
"Data Scientist","statisticyn",1
"Data Specialist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Specialist","sqlyn",1
"Data Engineer","pythonyn",1
"Data Engineer","sqlyn",1
"Data Engineer","awsyn",1
"Data Analyst","excelyn",1
"Data Analyst","mathematicyn",1
"Data Analyst","statisticyn",1
"Data Analyst","sqlyn",1
"Data Analyst","sqlyn",1
"Data Engineer","pythonyn",1
"Data Engineer","sqlyn",1
"Data Engineer","awsyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Machine Learning Engineer","excelyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Machine Learning Engineer","excelyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Machine Learning Engineer","excelyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Machine Learning Engineer","excelyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Specialist","sqlyn",1
"Data Analyst","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Specialist","sqlyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sparkyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Machine Learning Engineer","excelyn",1
"Machine Learning Engineer","excelyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Machine Learning Engineer","excelyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Machine Learning Engineer","excelyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Specialist","sparkyn",1
"Data Specialist","sparkyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","sparkyn",1
"Data Analyst","hadoopyn",1
"Data Analyst","hiveyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Machine Learning Engineer","excelyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Machine Learning Engineer","excelyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
"Machine Learning Engineer","excelyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Machine Learning Engineer","excelyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","gityn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sparkyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","tableauyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Specialist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","scalayn",1
"Data Scientist","sparkyn",1
"Data Scientist","awsyn",1
"Data Scientist","hiveyn",1
"Data Scientist","tableauyn",1
"Data Scientist","powerbiyn",1
"Data Scientist","nlpyn",1
"Data Scientist","mathematicyn",1
"Data Scientist","statisticyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","sqlyn",1
"Data Scientist","sasyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Analyst","pythonyn",1
"Data Analyst","ryn",1
"Data Analyst","sqlyn",1
"Data Analyst","statisticyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","pythonyn",1
"Data Scientist","ryn",1
"Data Scientist","sqlyn",1
"Data Scientist","excelyn",1
"Data Scientist","mathematicyn",1
"Data Analyst","pythonyn",1
"Data Analyst","sqlyn",1
"Data Analyst","excelyn",1
"Data Analyst","awsyn",1
"Data Analyst","powerbiyn",1
"Data Analyst","mathematicyn",1
